route_id,route_short_name,agency_id,route_long_name,route_type
200A,200A,33,Circle Odorna Station to New Melcom,3
202A,202A,25,UTC Station to Novotel,3
538A,538A,102,Zamrara Line to Kaneshie Mkt Cmplx,3
255B,255B,42,Circle Odorna Station to East Legon,3
421A,421A,98,Circle Near Las Palmas (PROTOA) to Ashiaman Station,3
422A,422A,98,Circle to Adenta Station,3
454B,454B,86,Circle to Osu Blow Up,3
990A,990A,39,Circle to SSNIT Flat Station,3
112A,112A,93,Achimota to Ashaiman Station,3
228A,228A,12,Accra CMB to Odorkor Station,3
156B,156B,28,Accra CMB to Alajo Taxi Rank,3
431A,431A,76,Circle Odorna Station to Korle Bu Station,3
419A,419A,48,Odorna Station to Agblezah Station,3
178B,178B,34,Kaneshie Mkt Cmplx to Bubiashie Control,3
227A,227A,12,Accra CMB to Manhean Station,3
196A,196A,68,Circle Lido to Kotobabi Down Station,3
210A,210A,97,Circle Near Las Palmas (PROTOA) to Teachers Hall,3
204B,204B,25,Osu Blow Up to Circle,3
387A,387A,16,New Town Station to Ashaley Botwe,3
088B,088B,22,Asofan Station to Achimota Station,3
523A,523A,61,Accra New Tema Station to Trade Fair,3
251B,251B,40,Accra Post Office to Darkuman Station,3
020A,020A,44,Abeka Market station to Accra UTC,3
435B,435B,81,Kasoa Station to Odorkor Station,3
038A,038A,95,Abeka lapaz to Amasaman,3
423A,423A,75,Odorna Station to Nima Overhead Station,3
265B,265B,53,Sukura Station to Kaneshie Mkt Cmplx,3
308B,308B,55,Accra CMB to Kotobabi Down Station,3
351A,351A,21,Legon Station to Dome Station,3
155A,155A,91,Kanashie Mkt Cmplx to Akoto Lante,3
278A,278A,51,Kanashie Mkt Cmplx to New Town Station,3
164B,164B,9,Kaneshie Mkt Cmplx to Arena Station,3
326A,326A,60,Kwashieman Station to Sowutuom Station,3
409A,409A,69,Nima Overhead Station to Sowutuom Station,3
447A,447A,13,Opetekwei Station to Accra New Tema Station,3
384B,384B,17,Tema Main Station to Accra New Tema Station,3
031A,031A,65,Abeka lapaz to 37 Station,3
070B,070B,41,Accra End of Motorway to American House,3
438B,438B,82,Accra New Tema Station to Odorkor Station,3
058B,058B,65,Sotuom VRA to Abeka lapaz,3
071B,071B,41,American House to Accra End of Motorway,3
240A,240A,37,Dansoman Laststop to Nyamekye,3
277A,277A,50,Kaneshie Mamprobi Station to Mamprobi Alhaji,3
008B,008B,2,Tema Main Habour Round About to Abeka lapaz,3
094A,094A,22,Achimota Station to Fise Junction,3
017A,017A,96,Abeka lapaz to Kasoa Station,3
017B,017B,96,Kasoa Station to Abeka lapaz,3
020B,020B,44,Accra UTC to Abeka Market station,3
074A,074A,15,New Town Timber Market to Accra Zongo Lane,3
078A,078A,19,Caprice to Accra CMB,3
381B,381B,45,Israel Station to Abeka lapaz,3
420B,420B,14,New Town Station to New Tema Station,3
449B,449B,85,Kaneshie Mkt Cmplx to Orgle Road Station,3
996A,996A,74,Maamobi-Nima Terminal to Circle,3
305B,305B,38,Dansoman Laststop to Kaneshie Mkt Cmplx ,3
021B,021B,63,Dome to Abeka lapaz,3
031B,031B,65,37 Station to Abeka lapaz,3
353B,353B,67,Social Welfare to Legon Station,3
305A,305A,38,Kaneshie Mkt Cmplx to Dansoman Laststop,3
321B,321B,56,Tema Habour to Kwashieman Station,3
416B,416B,87,Cantonments Station to New Tema Station,3
420A,420A,14,New Tema Station to New Town Station,3
435A,435A,81,Odorkor Station to Kasoa Station,3
486A,486A,32,Soko Station to Accra Post Office Station,3
486B,486B,32,Accra Post Office Station to Soko Station,3
543B,543B,89,Kasoa Station to Zongo Junction,3
449A,449A,85,Orgle Road Station to Kaneshie Mkt Cmplx,3
040B,040B,95,Ashiaman Station to Abeka lapaz,3
080B,080B,30,Accra UTC to Achimota Station,3
082B,082B,22,Adjiringanor to Achimota Station,3
212B,212B,97,Tema Station to Circle,3
288A,288A,79,Kaneshie Mkt Cmplx to Swanlake Laststop,3
290A,290A,83,Kaneshie Mkt Cmplx to Dansoman Laststop,3
388A,388A,51,New Town Station to Kasoa Station,3
311B,311B,55,Accra New Tema Station to Kotobabi Down Station,3
345B,345B,55,Achimota to Kotobabi Down Station,3
342B,342B,45,Omanjor Station to Abeka lapaz,3
098A,098A,19,Achimota Station to Abeka lapaz,3
333B,333B,3,Adenta Station to Abeka lapaz,3
090A,090A,19,Achimota Station to Darkuman Station,3
248B,248B,40,Accra CMB to Darkuman Station,3
403B,403B,69,Accra CMB to Nima Overhead Station,3
357B,357B,68,Kotobabi Down Station to Mallam Atta Station,3
391A,391A,71,New Town Station to Nima Overhead Station,3
469A,469A,101,Rawlings Park to Nungua Station,3
293A,293A,83,Kaneshie Mkt Cmplx to Mamprobi C. Lante,3
030B,030B,4,Mallam Atta Station to Abeka Main Markt,3
391B,391B,71,Nima Overhead Station to Accra New Town Station,3
066B,066B,72,Nima Overhead Station to Accra Taxi Rank,3
177B,177B,35,Accra CMB to Bubiashie Ayigbe Town,3
172B,172B,32,Tema Station to Banana Inn,3
278B,278B,51,New Town Station to Bus Stop 278,3
443A,443A,84,Okponglo Taxi Station to Christian,3
412A,412A,74,Nima Overhead Station to Agbobloshie Station No. 2,3
048A,048A,6,Abeka lapaz to Korle Bu Station,3
225A,225A,12,Accra CMB to Fan Milk,3
402A,402A,69,Nima Overhead Station to Awoshie Station,3
118A,118A,24,Achimota Station to Teshie Nungua,3
383A,383A,17,Accra New Tema Station to Ashaiman Station,3
267B,267B,50,Soko Station to Kaneshie Mkt Cmplx,3
452A,452A,34,Orgle Road Station to Kaneshie Mkt Cmplx,3
393A,393A,74,Nima Overhead Station to Accra New Tema Station,3
006A,006A,2,Abeka lapaz to Sakumono station,3
014A,014A,66,Abeka lapaz to Circle,3
416A,416A,87,New Tema Station to Cantonments Station,3
425B,425B,47,Nungua Station to Circle Odorna Station,3
410A,410A,69,Nima Overhead Station to Sukura Station,3
165B,165B,52,Odorkor Station to Arena Station,3
036B,036B,6,Agbogbloshie Station No. 2 to Abeka lapaz,3
366B,366B,104,Agbogbloshie Station No. 2 to New Fadama,3
266B,266B,94,Afropa to Kaneshie Mkt Cmplx,3
997B,997B,99,Circle Opps. Vodafone to UTC Station,3
028B,028B,4,Abeka Market station to Circle Near Las Palmas (PROTOA),3
