agency_id,agency_name,agency_url,agency_timezone
26,Agbogbloshie Kasoa Nyanyano Branch of GPRTU,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
27,Agbogbloshie Taxi & Mini Cargo.,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
28,Alajo Co-operative Transport Society,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
29,Alajo Trotro Branch of GPRTU,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
30,Asomdwe Taxi Local of Achimota Lapaz Taxi & Hiring GPRTU Branch,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
31,Ayawaso Co-operative Transport Society Limited,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
32,Banana Inn Salaga Tema Station Branch of GPRTU,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
33,Biakoye Taxi Union Branch of G.P.R.T.U,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
34,Bubuashie Trotro Branch of GPRTU,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
35,Bubuashie-Atico-Circle Branch of GPRTU,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
36,Chorkor Trotro Branch of GPRTU,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
37,Dansoman Branch of GPRTU,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
38,Dansoman Co-operative Transport Society,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
39,Dansoman GPRTU,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
40,Darkuman - Accra Branch of G.P.R.T.U,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
41,East Legon Taxi Branch of GPRTU,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
42,East Legon-La Bawaleshie-M-A-S-A GPRTU,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
43,Fadama New Fadama Junction NK Agbogbloshie CMB GPRTU,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
44,Grace PROTOA,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
45,Grace PROTOA Lapaz Taxi,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
46,Hansonic Taxi Drivers Union,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
47,Kaneshie Circle Teshie Nungua Local of Odawna Branch of G.P.R.T.U,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
48,Kaneshie Circle Teshie Nungua Local of Odawna Branch of GPRTU,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
49,Kaneshie Honesty GPRTU Branch,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
50,Kaneshie No. 2 Branch of GPRTU,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
51,Kaneshie Research Branch of GPRTU,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
52,Kantamanto-Zongo Branch of G.P.R.T.U,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
53,Katamanto Zongo Trotro Drivers Union,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
54,Kokomlemle - Pig Farm - Dzorwulu - Abelemkpe Local of Pig Farm Branch.,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
55,Kotobabi Down Branch of G.P.R.T.U Of TUC,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
56,Kwashieman Brothers Branch Of PROTOA,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
57,Kwashieman Junction Co-operative Taxi (044),https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
58,Kwashieman Junction Trotro Co-operative Transport Society,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
59,Kwashieman Taxi Local of GPRTU,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
60,Kyere Wo Do Branch of PROTOA,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
61,La YMCA Branch of GPRTU,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
62,Lapaz Asofan Amasaman Branch of G.P.R.T.U.,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
63,Lapaz Branch of Tiger Transport Services Association,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
64,Lapaz No. Branch of GPRTU,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
65,Lapaz No.2 Branch of G.P.R.T.U,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
66,Lapaz branch of Tiger Transport Services Association,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
67,Legon Co-operative Transport Society Limited,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
68,Lido Overhead Mallam Atta Local of Kotobabi Down Branch of G.P.R.T.U,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
69,Maamobi Branch of GPRTU,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
70,New Tema Station-Agbogbloshie Branch of GPRTU,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
71,Newtown Nima Maamobi Local ( Ayawaso Taxi ),https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
72,Newtown Nima Maamobi Local (Ayawaso Taxi) GPRTU,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
73,Nima Maamobi Branch of GPRTU,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
74,Nima Maamobi Branch of GPRTU of TUC,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
75,Nima Mamobi Circle Overhead Branch of G.P.R.T.U,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
76,Nkrumah Circle Peugeot Branch Of G.P.R.T.U,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
77,Nkwahia Co-operative Transport Society Limited,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
78,North Darkuman Nyamekye Branch Of G.P.R.T.U,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
79,North Kaneshie Co-operative Transport Society (Shared Taxi),https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
80,Odor Taxi Hiring Of GPRTU,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
81,Odorkor Branch Of GPRTU,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
82,Odorkor Branch of GPRTU,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
83,Okaikwe Taxi Drivers Union,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
84,Okponglo Co-operative Transport Society,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
85,Orgle Street Post Office Local of Kaneshie Circle Trotro Branch,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
86,Osu Blow up Trotro of GPRTU,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
87,Osu Trotro Branch of GPRTU,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
88,Rawlings Park Co-operative (009),https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
89,Royal Co-operative Transport Society Limited,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
90,Salaga Mamobi Camara Branch of GPRTU,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
91,Salaga Mamprobi Camara Branch of GPRTU,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
92,Salaga Mamprobi Taxi (Shared Taxi),https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
93,St. Michael Co-operative Transport Society,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
94,Susubiribiri GPRTU Taxi,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
95,Tiger Transport Lapaz Amasaman Branch,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
96,Tiger Transport Services Association Lapaz Branch,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
97,UTC- Circle Taxi Branch of GPRTU,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
98,Unity PROTOA Branch,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
99,Unregistered Peugoet Operators,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
100,Unregistered Trotro Operator (Odor Rise),https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
101,Wisdom Co-operative Society (016),https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
102,Zambrama Line Nasarawa Branch of GPRTU,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
103,Zambrama Line Nasrawa Branch of GPRTU,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
104,NULL,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
